"name","score","genre","thumbnail","userscore","summary","platform","publisher","developer","rating","rlsdate","url"
"Anno 2070","83","Strategy","http://static.metacritic.com/images/products/games/0/f9b08c2b42fb901443662a92976acc39-98.jpg","7","Developed by Related Designs in collaboration with Blue Byte, Anno 2070 takes place in a near-future environment where climate change has forced humanity to adapt to rising sea levels that have left stretches of once-fertile land completely inhospitable. Players need to master new technologies while facing numerous ecological challenges to build their empires. Anno 2070 offers players the ability to be architects of the future and create the world of tomorrow.","PC","Ubisoft","Blue Byte, Related Designs","T","2011-11-17","http://www.metacritic.com/game/pc/anno-2070"
"Anno 2205","74","Strategy","http://static.metacritic.com/images/products/games/7/dde5efdeaa0753daca4495d7c1da1c6c-98.jpg","6.1","In Anno 2205, enlist with humankind‘s next step into the future with the promise to build a better tomorrow. You'll conquer Earth, establishing rich, bustling cities and grand industrial complexes, but to secure the prosperity of your people, you must travel into space.","PC","Ubisoft","Blue Byte","E10+","2015-11-03","http://www.metacritic.com/game/pc/anno-2205"
"Anoxemia",NA,"Action","http://static.metacritic.com/images/products/games/3/2b827f8f837853ab910a78b0f88d8149-98.jpg","3.6","A story-driven exploration game that puts you in control of the scientist Dr. Bailey and his operations drone, ATMA. Search the ocean floor as you discover and extract samples from the bowels of the underwater caves.","PC","BSK Games","BSK Games","","2015-01-16","http://www.metacritic.com/game/pc/anoxemia"
"APB: Reloaded","56","Role-Playing","http://static.metacritic.com/images/products/games/8/c3a6906c53794d198552c1af36d92be4-98.jpg","5.8","In APB Reloaded you take on the role of a Criminal - hell-bent on causing havoc and making money, or an Enforcer - tapped by the city to keep order. The city never sleeps and the fight never ends in this fast paced Massively Multi-player, Action Shooter!","PC","GamersFirst","Reloaded Productions","M","2011-12-06","http://www.metacritic.com/game/pc/apb-reloaded"
"ArcheAge","80","Role-Playing","http://static.metacritic.com/images/products/games/2/1ebe3bb86f1feced2711d9070a1488f9-98.jpg","3.6","All players begin their journey on either the Nuia or Harihara continents. From there they explore the world, cooperating or competing with each other. Remnants of the Lost Continent, where the ancestors of the world's races lived together in peace two thousand years ago, still dominate the landscape. If you explore deep into the hearts of these ancient relics, you may discover the secrets of legendary gods and heroes. Or you may reveal more details about the catastrophe that caused the Nuia and Harihara schism. It all depends on your choices.","PC","Trion Worlds","XLGAMES","M","2014-09-16","http://www.metacritic.com/game/pc/archeage"
"ARK: Survival Evolved",NA,"Action Adventure","http://static.metacritic.com/images/products/games/2/09725c3959acf79c41a59d9438ef53fa-98.jpg",NA,"As a man or woman stranded naked, freezing & starving on a mysterious island, you must hunt, harvest, craft items, grow crops, & build shelters to survive. Use skill and cunning to kill or tame & ride the Dinosaurs & primeval creatures roaming the land, & team up with hundreds of players or play locally.","PC","Studio Wildcard","Studio Wildcard","","1970-01-01","http://www.metacritic.com/game/pc/ark-survival-evolved"
"ArmA II: Operation Arrowhead","73","Action","http://static.metacritic.com/images/products/games/5/629c02ed301d88eaad628b252722960d-98.jpg","8.2","Three years after the conflict in Chernarus, portrayed in the original Arma 2, a new flashpoint in the Green Sea region heats up and coalition forces led by the US Army are sent to Takistan to quickly restore peace and prevent further civilian casualties in this standalone expansion pack to the best military simulator of 2009 – Arma 2. [Bohemia Interactive]","PC","Meridian4","Bohemia Interactive","M","2010-06-29","http://www.metacritic.com/game/pc/arma-ii-operation-arrowhead"
"Arma III","74","Simulation","http://static.metacritic.com/images/products/games/2/b0fb0dc6026fad7755bae602a6166278-98.jpg","7.3","Tensions rise as NATO peacekeeping forces begin to leave The Republic of Altis: a strategic fault-line between crumbling European influence and a powerful, resurgent East. But when a key radar facility drops off the grid, a Mediterranean flashpoint risks escalating into global conflict.","PC","Bohemia Interactive","Bohemia Interactive","M","2013-03-05","http://www.metacritic.com/game/pc/arma-iii"
"Assassin's Creed III","80","Action Adventure","http://static.metacritic.com/images/products/games/2/e3296bc1d511e1793d5a01aada53bbbc-98.jpg","6.2","Assume the role of Connor, the son of a Native American mother and English father. As a revolution is imminent, your people are threatened by a powerful movement aiming to quell the American revolution and seize control the colonies. After your village is decimated, you bind yourself to the cause of freedom, and set out on a decades-long quest to achieve it. Your predatory instincts, developed through years of hunting in rough tundra, enable you to pursue and kill your targets in silence. When overt combat becomes necessary, you can uncork a myriad of weapons including tomahawks, darts, and guns.","PC","Ubisoft","Ubisoft","M","2012-11-20","http://www.metacritic.com/game/pc/assassins-creed-iii"
"Assassin's Creed IV: Black Flag","84","Action Adventure","http://static.metacritic.com/images/products/games/9/12684fda4b57ad657365d46828373b32-98.jpg","7.6","The year is 1715. Pirates rule the waters of the Caribbean and have established a lawless Republic. Among these outlaws is a lethal young captain named Edward Kenway. His notorious exploits earn the respect of legends like Blackbeard, but draw him into an ancient war that may destroy everything the pirates have built for themselves.","PC","Ubisoft","Ubisoft","M","2013-11-19","http://www.metacritic.com/game/pc/assassins-creed-iv-black-flag"
"Assassin's Creed Rogue","74","Historic","http://static.metacritic.com/images/products/games/1/d81f93c5f28fec8a188001775bf947d4-98.jpg","7.5","18th century, North America. Within the chaos and violence of the French and Indian War, Shay Patrick Cormac, a courageous member of the Brotherhood of Assassin’s, undergoes a dark transformation that forever shapes the future of the American colonies. After a perilous mission gone tragically wrong, Shay turns his back on the Assassins who, in response, attempt to kill him. Spurned by those he once called brothers, Shay sets out on a mission to wipe out all who turned against him and ultimately become the most feared Assassin hunter in history.","PC","Ubisoft","Ubisoft","M","2015-03-10","http://www.metacritic.com/game/pc/assassins-creed-rogue"
"Assetto Corsa","85","Driving","http://static.metacritic.com/images/products/games/8/0439c54d676e4812a1c3cb7ba9fc1460-98.jpg","8.4","Assetto Corsa is a new PC-based racing game for Windows, expected to be released in 2012. Assetto Corsa is being designed to provide a very realistic driving experience, with single player and multiplayer options, officially licensed cars and tracks developed using Laser scan technology, and the highest level of accuracy possible in reproducing real world motor racing environments. Also, Assetto Corsa will allow for considerable customisation and modification, in order to satisfy the expectations of professional simracers, gamers who prefer to approach the driving experience more progressively, and hobbyists who just like to collect lots of cars and tracks.","PC","Kunos Simulazioni","Kunos Simulazioni","","2013-11-08","http://www.metacritic.com/game/pc/assetto-corsa"
"Aura Kingdom",NA,"Role-Playing","http://static.metacritic.com/images/products/games/2/6ee4ef192094643f7c88bc930098daba-98.jpg","7.3","Aura Kingdom is a majestic new MMORPG published by Aeria Games. From the developers of popular fan-favorite MMOs like Eden Eternal and Grand Fantasia, Aura Kingdom uses state-of-the-art graphics and a detailed anime art style to depict a sprawling fantasy world for players to journey through. 

Guiding a hero from humble beginnings, players will soon discover a menagerie of loyal companions that will prove to be invaluable in their journey. They will quickly become a player","PC","Aeria Games & Entertainment","X-Legend","","2014-07-04","http://www.metacritic.com/game/pc/aura-kingdom"
"Awesomenauts","78","Action","http://static.metacritic.com/images/products/games/1/3e663afd810c8bb1ba833de89ec04da3-98.jpg","8.1","The game features the most awesome mercenaries in the galaxy in their fight for territorial supremacy. Awesomenauts brings Russian monkeys with jetpacks, giant robots, and lots of other mighty aliens to the two-dimensional console battlefield. Combining classic platforming-action with modern online multiplayer functionality, the action-packed gameplay offers everything the 16-bit generation and modern gamers love.","PC","Ronimo Games","DTP Entertainment, Ronimo Games","","2012-08-01","http://www.metacritic.com/game/pc/awesomenauts"
"Banished","73","Other Strategy Games","http://static.metacritic.com/images/products/games/1/dc20b2537b514f9ba0981e31d3d188f4-98.jpg","8.2","In this city-building strategy game, control a group of exiled travelers who opt to restart their lives in a new land. They bring only the clothes on their backs and a cart filled with supplies from their homeland. The townspeople of Banished are your primary resource.","PC","Shining Rock Software","Shining Rock Software","","2014-02-18","http://www.metacritic.com/game/pc/banished"
"Batla",NA,"Action","http://static.metacritic.com/images/products/games/98w-game.jpg",NA,"","PC","Abyss Lights Studio LLP","[geim].pro","","2015-05-14","http://www.metacritic.com/game/pc/batla"
"Batman: Arkham Asylum","91","Action Adventure","http://static.metacritic.com/images/products/games/5/8c0d025f0ad5d0f625717b6806ed0afc-98.jpg","8.7","In Batman: Arkham Asylum, the player assumes the role of Batman as he delivers The Joker to Arkham Asylum. There, the imprisoned super-villains have set a trap and an immersive combat gaming experience unfolds. With an original script penned by Emmy Award-winning Batman writer Paul Dini, the game brings the universe of DC Comics' detective to life with stunning graphics. Batman: Arkham Asylum offers players the chance to battle Gotham's worst villains with Batman's physical and psychological strength in a graphically distinct and story-driven game. [Eidos Interactive]","PC","Eidos Interactive","Rocksteady Studios","T","2009-09-15","http://www.metacritic.com/game/pc/batman-arkham-asylum"
"Batman: Arkham City","91","Action Adventure","http://static.metacritic.com/images/products/games/7/8ca786aa6ce79e3b0c30cdda2f3cb821-98.jpg","8.6","DC Comics' Dark Knight clashes with the Joker again in this sequel from Warner Bros. and Rocksteady Games.","PC","Warner Bros. Interactive Entertainment","Rocksteady Studios","T","2011-11-22","http://www.metacritic.com/game/pc/batman-arkham-city"
"Batman: Arkham Knight","71","Action Adventure","http://static.metacritic.com/images/products/games/5/dfa929a1d492b46f67580c7ff6e85460-98.jpg","2.1","Batman confronts the ultimate threat against the city he has been sworn to protect. The Scarecrow returns to congeal an imposing array of super villains, including The Penguin, Two-Face and Harley Quinn, to summarily destroy The Dark Knight. The game introduces Rocksteady's uniquely-designed imagining of the Batmobile drivable for the first time in the franchise. Batman: Arkham Knight offers gamers a complete Batman experience as they rip through the streets and soar across the skyline of the iconic Gotham City.","PC","Warner Bros. Interactive Entertainment","Iron Galaxy Studios","M","2015-06-23","http://www.metacritic.com/game/pc/batman-arkham-knight"
"Batman: Arkham Origins","74","Action Adventure","http://static.metacritic.com/images/products/games/3/93a149ff2ff02c621c59b248e11422bd-98.jpg","7.5","Batman: Arkham Origins features an expanded Gotham City and introduces an original prequel storyline set several years before the events of Batman: Arkham Asylum and Batman: Arkham City, the first two games in the franchise. Taking place before the rise of Gotham City’s most notorious criminals, the game showcases a young, unrefined Batman as he faces the defining moment of his early career and sets his path to becoming the Dark Knight.","PC","Warner Bros. Interactive Entertainment","Iron Galaxy Studios","T","2013-10-25","http://www.metacritic.com/game/pc/batman-arkham-origins"
"BattleBlock Theater","85","Action","http://static.metacritic.com/images/products/games/1/e94268ad549d3c590b4c9da63c7478dc-98.jpg","7.9","Shipwrecked. Captured. Betrayed. Forced to perform for an audience of cats? Wait, what?? You've just unlocked the door to BattleBlock Theater! There's no turning back once you've started on your quest to free your imprisoned friends from evil technological cats! Immerse yourself in this mind bending tale of treachery as you battle your way through hundreds of levels in order to discover the puzzling truth behind BattleBlock Theater.","PC","The Behemoth","The Behemoth","T","2014-05-15","http://www.metacritic.com/game/pc/battleblock-theater"
"Battlefield: Bad Company 2","87","Action","http://static.metacritic.com/images/products/games/6/57ad2c928a527dc6f54617e7b2f72be1-98.jpg","8.3","In this installment, the Bad Company crew again find themselves in the heart of the action, where they must use every weapon and vehicle at their disposal to survive. In Battlefield: Bad Company 2, the 'B' company fight their way through snowy mountaintops, dense jungles and dusty villages. With a heavy arsenal of deadly weapons and a slew of vehicles to aid them, the crew set off on their mission and they are ready to blow up, shoot down, blast through, wipe out and utterly destroy anything that gets in their way. Total destruction is the name of the game, delivered as only the DICE next generation Frostbite engine can. [Electronic Arts]","PC","EA Games","EA DICE","M","2010-03-02","http://www.metacritic.com/game/pc/battlefield-bad-company-2"
"Battlepaths",NA,"Role-Playing","http://static.metacritic.com/images/products/games/2/8f4714e8592da37ac0346d0c23cf83ae-98.jpg",NA,"","PC","Digerati Distribution","Key17Games","","2014-05-30","http://www.metacritic.com/game/pc/battlepaths"
"Besiege",NA,"Strategy","http://static.metacritic.com/images/products/games/5/4578180729eec46547eb56ba0ed20266-98.jpg",NA,"A physics-based building game in which the player constructs medieval siege engines and lays waste to immense fortresses and peaceful hamlets.","PC","Spiderling Studios","Spiderling Studios","","1970-01-01","http://www.metacritic.com/game/pc/besiege"
"Big Pharma","72","Strategy","http://static.metacritic.com/images/products/games/1/647eb10d87640a48b7965806891620c9-98.jpg","8","What if you had it in your power to rid the world of disease, to improve the lives of millions, to ease suffering and cure the sick… and earn a tidy profit? As the head of your own Pharmaceutical Conglomerate you have this power resting in your hands. Will you use it for good?","PC","Positech Games","Twice Circled","","2015-08-27","http://www.metacritic.com/game/pc/big-pharma"
"Bionic Dues","71","Action","http://static.metacritic.com/images/products/games/4/d2464340b690a920ee782ce83dccf11c-98.jpg","7.6","Bionic Dues has players guiding multiple classes of Exos through a variety of missions filled with enemy robots that are as buggy as they are angry.","PC","Arcen Games, LLC","Arcen Games, LLC","","2013-10-08","http://www.metacritic.com/game/pc/bionic-dues"
"BioShock","96","Action","http://static.metacritic.com/images/products/games/4/6e40cbab3978d4fe0c1390f8b46f23cc-98.jpg","8.4","Going beyond ""run and gun corridors,"" ""monster-closet AIs"" and static worlds, BioShock creates a living, unique and unpredictable FPS experience. After your plane crashes into icy uncharted waters, you discover a rusted bathysphere and descend into Rapture, a city hidden beneath the sea. Constructed as an idealistic society for a hand picked group of scientists, artists and industrialists, the idealism is no more. Now the city is littered with corpses, wildly powerful guardians roam the corridors as little girls loot the dead, and genetically mutated citizens ambush you at every turn. Take control of your world by hacking mechanical devices, commandeering security turrets and crafting unique items critical to your very survival. Upgrade your weapons with ionic gels, explosives and toxins to customize them to the enemy and environment. Genetically modify your body through dozens of Plasmid Stations scattered throughout the city, empowering you with fantastic and often grotesque abilities. Explore a living world powered by Ecological A.I., where the inhabitants have interesting and consequential relationships with one another that impact your gameplay experience. Experience truly next generation graphics that vividly illustrate the forlorn art deco city, highlighted by the most detailed and realistic water effects ever developed in a video game. Make meaningful choices and mature decisions, ultimately culminating in the grand question: do you exploit the innocent survivors of Rapture...or save them? [2K Games]","PC","2K Games","Irrational Games, 2K Marin","M","2007-08-21","http://www.metacritic.com/game/pc/bioshock"
"BioShock Infinite","94","Action","http://static.metacritic.com/images/products/games/8/d6db22b96a880fa7fb6d577591e181e2-98.jpg","8.5","Initially conceived as a floating symbol of American ideals at a time when the United States was emerging as a world power, Columbia is sent to distant shores with great fanfare by a captivated public. What begins as a fresh new endeavor of hope turns drastically wrong as the city soon disappears into the clouds to whereabouts unknown. The player takes on the role of former Pinkerton agent Booker DeWitt, sent to the lost city to rescue Elizabeth, a young lady imprisoned there since her childhood. He develops a relationship with Elizabeth, enhancing his abilities with hers so the pair may escape from a city that is literally falling from the sky. DeWitt has to learn to fight foes in high-speed Sky-Line battles, engage in combat both indoors and amongst the clouds, and harness the power of a myriad of new weapons and abilities.","PC","2K Games","Irrational Games","M","2013-03-26","http://www.metacritic.com/game/pc/bioshock-infinite"
"Block N Load","72","Action","http://static.metacritic.com/images/products/games/1/60ee38ba672cca9483fde884610d94dc-98.jpg","7.8","Build. Destroy. Attack. Defend. Tunnel. Trap. Catapult. Poison. Slice. Detonate. Sabotage. Win.","PC","Jagex Games Studio","Jagex Games Studio","","2015-04-30","http://www.metacritic.com/game/pc/block-n-load"
"BLOCKADE 3D",NA,"Action","http://static.metacritic.com/images/products/games/1/e8e8516cadb3a999fbcae6ebc2e36ab9-98.jpg",NA,"First Person Shooter in an editable procedural cubic world.","PC","Shumkov Dmitriy","Shumkov Dmitriy","","1970-01-01","http://www.metacritic.com/game/pc/blockade-3d"
"Blood Bowl 2","76","Sports","http://static.metacritic.com/images/products/games/4/f6f8c865039e9cd165c326a94bf23b5f-98.jpg","6.1","Blood Bowl 2 mashes Warhammer and American football together, in an explosive cocktail of turn-based strategy, humor and brutality, adapted from Games Workshop’s famous board game.","PC","Focus Home Interactive","Cyanide","T","2015-09-22","http://www.metacritic.com/game/pc/blood-bowl-2"
"Borderlands","81","Action","http://static.metacritic.com/images/products/games/7/a6d2e246d5588a36e2cc3234798c84a8-98.jpg","7.8","As the first title in an all-new sci-fi action franchise, Borderlands combines the best elements of Gearbox Software's first-person action titles with player customization and vehicular combat. Borderlands features a unique content generation system allowing for near-endless variety in missions, environments, enemies, weapons, item drops and character customization. Borderlands is a cooperative experience, allowing for multiple players to share the same game experience simultaneously online. Players can freely join or leave each other’s games at anytime, or choose to play in the full single-player mode. Borderlands features life-like character animations, impressive real-time physics, and customizable vehicles. More details to follow. [2K Games/Gearbox Software]","PC","2K Games","Gearbox Software","M","2009-10-26","http://www.metacritic.com/game/pc/borderlands"
"Borderlands 2","89","Action","http://static.metacritic.com/images/products/games/6/83a854e88e731ec780ae2d8e2e3659f7-98.jpg","8.2","Borderlands 2 advances the distinct blending of FPS and role-playing genres to create an evolution of the Role Playing Shooter. Team up with up to 3 other players for 4-player online goodness or go old-school with 2-player split-screen couch sharing mayhem as you spend hours leveling up your character and equipping them with one of the millions of badass weapons. Borderlands 2 features a new array of procedurally generated guns, shields, grenades, artifacts, enemies and more. Choose one of the 4 new character classes to be taken through a carefully crafted and connected story to all new and surprising environments across the living planet of Pandora. Make new friends, arm them to the teeth and fight alongside them on your relentless quest for revenge and redemption.","PC","2K Games","Gearbox Software","M","2012-09-18","http://www.metacritic.com/game/pc/borderlands-2"
"Borderlands: The Pre-Sequel","75","Action","http://static.metacritic.com/images/products/games/3/a973fe832f0f00abbe23b495b1081c2a-98.jpg","6.1","Inject yourself into the Borderlands universe and shoot ‘n’ loot your way through a new adventure that launches you onto Pandora’s moon in Borderlands: The Pre-Sequel.","PC","2K Games","2K Australia","M","2014-10-14","http://www.metacritic.com/game/pc/borderlands-the-pre-sequel"
"Brawlhalla",NA,"Action","http://static.metacritic.com/images/products/games/7/a1432b2c1a6a97db0573ae8c022f97a8-98.jpg","7.6","A 2D platform fighter where the best of the baddest-ass warriors in history battle each other in an eternal tourney of champions for bragging rights, infinite mead, and the pure pleasure of delivering a beatdown. Includes online 4 player free for all, custom games, and local play options.","PC","Xaviant Games","Blue Mammoth Games","","2014-04-30","http://www.metacritic.com/game/pc/brawlhalla"
"BROFORCE","83","Action","http://static.metacritic.com/images/products/games/3/f58410a12889028c44b81e68f887d76d-98.jpg","8","A ridiculously violent platform game about being awesome action heroes from the 80s and 90s while slaying satanic terrorists and aliens while unraveling an evil plot to destroy the planet while dealing with being awesome action heroes from the 80s and 90s.","PC","Devolver Digital","Free Lives","","2015-10-15","http://www.metacritic.com/game/pc/broforce"
"Broken Age","76","Third-Person","http://static.metacritic.com/images/products/games/6/709b721614f6fd93fc7a1f61dfcfb440-98.jpg","7.1","Broken Age is a point-and-click adventure telling the stories of a young boy and girl leading parallel lives. The girl has been chosen by her village to be sacrificed to a terrible monster--but she decides to fight back. Meanwhile, a boy on a spaceship is living a solitary life under the care of a motherly computer, but he wants to break free to lead adventures and do good in the world. Adventures ensue.","PC","Nordic Games Publishing","Double Fine Productions","E10+","2015-04-28","http://www.metacritic.com/game/pc/broken-age"
"Burgers",NA,"Action","http://static.metacritic.com/images/products/games/2/4d9ae0e11be6099711aa27a611a6f9d4-98.jpg",NA,"","PC","storm_sharks","storm_sharks","","2015-08-10","http://www.metacritic.com/game/pc/burgers"
"Burstfire",NA,"Action","http://static.metacritic.com/images/products/games/2/aeac29551e6f513558cd0cd449d75c3d-98.jpg",NA,"Burstfire is a 5v5 competitive first-person shooter that rewards tactical thinking, intelligent combat and cohesive team play. While most modern shooters treat death as a minor inconvenience, Burstfire forces players to thoughtfully strategize by giving them only one life with which to achieve their goal of either seizing or defending their base of operations.","PC","Free Reign Entertainment","Free Reign Entertainment, Nacho Games","","1970-01-01","http://www.metacritic.com/game/pc/burstfire"
"Call of Duty: Advanced Warfare","78","Action","http://static.metacritic.com/images/products/games/2/5396f84ef622fb128398103045a1850f-98.jpg","4.4","Call of Duty: Advanced Warfare envisions the powerful battlegrounds of the future, where both technology and tactic have evolved to usher in a new era of combat for the franchise. Delivering a stunning performance, Academy Award winning actor Kevin Spacey stars as Jonathan Irons -- one of the most powerful men in the world -- shaping this chilling vision of the future of war. The game takes place in a plausible future in which technological progress and today's military practices have converged with powerful consequences. In this carefully researched and crafted vision of the future, Private Military Corporations (PMCs) have become the dominant armed forces for countless nations outsourcing their military needs, redrawing borders and rewriting the rules of war. And Jonathan Irons, the founder and president of the world's largest PMC, Atlas Corporation, is at the center of it all.Suit up for combat in exoskeletons that evolve every aspect of a soldier's battle readiness, enabling combatants to deploy with an advanced lethality and eliminating the need for specialization. Players experience enhanced player movement and verticality through boost jumps and grappling, covert cloaking abilities, and biomechanics that provide unparalleled strength, awareness, endurance, and speed. With the advent of the exoskeleton and newly advanced armor and weaponry, every soldier commands tactical freedom in any terrain unlike ever before, fundamentally changing the way gamers play Call of Duty across all modes","PC","Activision","Sledgehammer Games","M","2014-11-03","http://www.metacritic.com/game/pc/call-of-duty-advanced-warfare"
"Call of Duty: Black Ops II","74","Action","http://static.metacritic.com/images/products/games/6/a8521c43bec13b9aaa3799eb92096df8-98.jpg","4","Black Ops 2's multiplayer unveils a new Create-a-Class, introducing players to a new ""pick-10"" allocation system that allows for a combination of any ten items, making almost anything possible. The new Score Streak system rewards players who play to the objective and help their team win. League Play, CODcasting and Live Streaming combine to make Call of Duty more enjoyable to watch by providing players with the tools to commentate games and broadcast those games to the world.","PC","Activision","Treyarch","M","2012-11-13","http://www.metacritic.com/game/pc/call-of-duty-black-ops-ii"
"Call of Duty: Black Ops III","75","Action","http://static.metacritic.com/images/products/games/3/dd8030789d3ea519996ffc952a729ae9-98.jpg","2.7","In Black Ops 3, Treyarch introduces a new momentum-based chained-movement system which enables players to fluidly move through the environment with finesse, using controlled thrust jumps, slides, wall runs and mantling abilities in a myriad of combinations, all while continuously keeping full control over their weapon. Maps are designed from the ground-up for the new movement system, enabling players to be successful with traditional movement, as well as with advanced tactics and maneuvers.","PC","Activision","Treyarch","M","2015-11-06","http://www.metacritic.com/game/pc/call-of-duty-black-ops-iii"
